TIEMPO,ADC,DAC
0.923,1.712,2.045
0.924,1.97,1.27
0.925,1.399,1.49
0.926,1.467,1.27
0.927,1.312,2.093
0.928,1.938,1.245
0.929,1.377,2.012
0.93,1.89,1.783
0.931,1.803,1.98
0.932,1.945,2.0
0.933,1.99,1.941
0.934,1.941,1.467
0.935,1.554,1.696
0.936,1.67,2.116
0.937,2.032,2.125
0.938,2.099,1.69
0.939,1.758,1.216
0.94,1.316,1.741
0.941,1.654,1.148
0.942,1.245,1.961
0.943,1.819,1.222
0.944,1.338,1.88
0.945,1.774,1.67
0.946,1.683,1.458
0.947,1.5,1.732
0.948,1.68,1.161
0.949,1.258,1.738
0.95,1.641,1.48
0.951,1.509,1.783
0.952,1.729,1.612
0.953,1.635,2.087
0.954,1.996,1.558
0.955,1.632,1.306
0.956,1.37,2.141
0.957,1.99,1.377
0.958,1.493,1.987
0.959,1.887,1.435
0.96,1.522,1.958
0.961,1.87,1.635
0.962,1.674,1.564
0.963,1.577,1.264
0.964,1.322,1.648
0.965,1.583,1.729
0.966,1.7,1.703
0.967,1.696,1.567
0.968,1.593,1.961
0.969,1.89,1.916
0.97,1.906,1.803
0.971,1.816,1.477
0.972,1.538,1.78
0.973,1.735,2.064
0.974,2.0,1.848
0.975,1.867,1.47
0.976,1.541,1.745
0.977,1.7,1.441
0.978,1.49,1.732
0.979,1.687,2.038
0.98,1.97,2.041
0.981,2.022,1.729
0.982,1.774,1.229
0.983,1.329,1.58
0.984,1.535,1.951
0.985,1.874,1.951
0.986,1.925,1.164
0.987,1.309,2.08
0.988,1.935,2.054
0.989,2.029,1.732
0.99,1.78,1.348
0.991,1.432,1.967
0.992,1.854,1.196
0.993,1.319,1.577
0.994,1.522,1.516
0.995,1.516,1.748
0.996,1.7,1.764
0.997,1.745,1.441
0.998,1.493,1.351
0.999,1.377,1.609
