TIEMPO,ADC,DAC
0.445,1.332,1.503
0.446,1.509,1.732
0.447,1.729,1.974
0.448,1.819,1.651
0.449,1.593,1.238
0.45,1.351,1.299
0.451,1.303,1.274
0.452,1.487,2.08
0.453,1.677,1.177
0.454,1.532,1.996
0.455,1.858,1.98
0.456,1.819,1.493
0.457,1.538,1.312
0.458,1.361,1.264
0.459,1.303,1.329
0.46,1.341,1.409
0.461,1.374,1.354
0.462,1.325,1.203
0.463,1.464,2.109
0.464,1.851,1.825
0.465,1.77,1.577
0.466,1.622,1.551
0.467,1.548,1.467
0.468,1.429,1.245
0.469,1.519,2.122
0.47,1.725,1.248
0.471,1.596,2.074
0.472,1.764,1.416
0.473,1.529,1.47
0.474,1.503,1.548
0.475,1.509,1.448
0.476,1.561,1.835
0.477,1.651,1.425
0.478,1.429,1.196
0.479,1.435,1.88
0.48,1.58,1.219
0.481,1.325,1.238
0.482,1.241,1.174
0.483,1.316,1.667
0.484,1.429,1.148
0.485,1.287,1.377
0.486,1.506,1.996
0.487,1.799,1.78
0.488,1.774,1.729
0.489,1.661,1.429
0.49,1.435,1.209
0.491,1.454,1.922
0.492,1.693,1.564
0.493,1.503,1.183
0.494,1.351,1.493
0.495,1.564,1.938
0.496,1.88,2.122
0.497,1.867,1.393
0.498,1.464,1.154
0.499,1.348,1.609
0.5,1.645,2.038
0.501,1.874,1.838
0.502,1.729,1.354
0.503,1.425,1.232
0.504,1.519,2.148
0.505,1.961,2.125
0.506,1.993,1.787
0.507,1.822,1.7
0.508,1.829,2.08
0.509,1.848,1.467
0.51,1.57,1.448
0.511,1.477,1.451
0.512,1.419,1.299
0.513,1.364,1.432
0.514,1.538,1.925
0.515,1.848,2.083
0.516,1.854,1.438
0.517,1.561,1.448
0.518,1.574,1.835
0.519,1.606,1.245
0.52,1.445,1.629
0.521,1.593,1.712
0.522,1.622,1.493
0.523,1.654,1.987
0.524,1.932,2.141
0.525,1.932,1.561
0.526,1.564,1.17
0.527,1.483,1.961
0.528,1.645,1.28
0.529,1.49,1.687
0.53,1.638,1.729
0.531,1.622,1.419
0.532,1.532,1.641
0.533,1.612,1.667
0.534,1.703,1.867
0.535,1.709,1.441
0.536,1.654,1.977
0.537,1.829,1.764
0.538,1.877,2.132
0.539,2.051,2.106
0.54,1.951,1.554
0.541,1.564,1.17
0.542,1.38,1.57
0.543,1.622,2.0
0.544,1.79,1.596
0.545,1.696,1.774
